bfs_nr,JAHR,Bevölkerung: Anteil 20-39-Jährige [%] ,Bevölkerung: Anteil 40-64-Jährige [%] ,Motorräder [Anz.] ,Motorräder pro 1000 Einwohner [Anz.] ,Bestand Elektromotor [%] ,Bevölkerung [Pers.] ,Ø steuerbares Einkommen natürliche Pers. [Fr.] ,Ø steuerbares Vermögen natürliche Pers. [Fr.] ,Erschliessung durch S-Bahn+Bus [% der Einw.] ,"MIV-Wege Quell-, Ziel- und Binnenverkehr [Anz.] ",MIV-Anteil (Modal Split) [%] ,Motorrad-Neuzulassungen [Anz.] ,Motorrad-Neuzulasssungen pro 1000 Einw. [Anz.] ,Neuzulassungen  Elektromotor [%] ,Weg zur nächsten Haltestelle [m] ,municipality,canton,electric_car_charging_spot_count,electric_cars_per_charging_spot
173,2023,20.8,39.2,416,110.8,3.5,3897,68372,347000000,0.0,11686.0,92.0,20,5.3,25.0,261.0,Hittnau,ZH,0,999.0
176,2023,22.3,38.2,630,110.2,5.0,5860,67817,407000000,6.4,27782.0,93.0,29,5.1,30.2,166.0,Lindau,ZH,28,7.9
177,2023,23.8,35.2,924,74.7,3.9,12484,65839,408000000,47.7,40864.0,84.0,45,3.6,28.1,227.0,Pfäffikon,ZH,20,15.0
178,2023,19.3,37.9,457,101.3,4.3,4565,75815,547000000,0.0,12298.0,92.0,26,5.8,33.3,235.0,Russikon,ZH,3,50.3
180,2023,21.4,37.0,387,112.7,4.9,3458,71416,490000000,0.0,9137.0,92.0,18,5.2,32.5,186.0,Weisslingen,ZH,0,999.0
181,2023,21.4,36.7,223,109.1,3.9,2079,56555,308000000,78.0,6050.0,90.0,14,6.8,25.0,279.0,Wila,ZH,0,999.0
182,2023,19.4,39.1,125,121.6,1.7,1025,68669,374000000,0.0,3547.0,93.0,10,9.7,10.0,275.0,Wildberg,ZH,0,999.0
191,2023,32.2,34.1,2258,73.5,4.0,31440,62169,266000000,73.0,100504.0,82.0,134,4.4,22.9,162.0,Dübendorf,ZH,19,37.3
192,2023,19.3,37.9,797,90.9,3.9,8812,77837,611000000,17.4,22403.0,83.0,48,5.5,21.5,281.0,Egg,ZH,4,60.3
193,2023,23.2,35.7,923,97.7,4.5,9553,73452,462000000,0.0,23308.0,86.0,49,5.2,30.0,172.0,Fällanden,ZH,2,132.0
194,2023,22.0,34.3,353,66.4,3.3,5384,73092,534000000,75.9,12068.0,67.0,14,2.6,26.1,207.0,Greifensee,ZH,0,999.0
195,2023,19.0,39.8,1234,114.9,5.8,10901,88661,922000000,23.2,28782.0,88.0,83,7.7,32.3,232.0,Maur,ZH,10,43.8
196,2023,21.6,34.8,361,87.8,3.9,4235,62948,372000000,0.0,16557.0,94.0,37,9.0,24.4,252.0,Mönchaltorf,ZH,5,20.6
197,2023,26.2,35.2,339,66.1,3.7,5164,65178,368000000,66.1,13571.0,70.0,12,2.3,28.4,309.0,Schwerzenbach,ZH,2,102.0
198,2023,25.8,35.8,2426,67.9,3.9,36279,66359,387000000,30.6,105689.0,81.0,128,3.6,26.3,170.0,Uster,ZH,39,19.3
199,2023,24.8,36.8,1556,80.1,3.6,19717,66931,343000000,13.1,103472.0,91.0,89,4.6,23.1,212.0,Volketswil,ZH,41,11.8
200,2023,25.5,37.1,761,94.2,4.0,8192,71921,421000000,20.3,27476.0,89.0,34,4.2,23.9,194.0,Wangen-Brüttisellen,ZH,8,25.8
211,2023,21.9,35.4,108,148.1,3.4,754,59442,319000000,0.0,1956.0,93.0,5,6.9,35.3,307.0,Altikon,ZH,0,999.0
