Bevölkerung: Anteil 20-39-Jährige [%] ,Bevölkerung: Anteil 40-64-Jährige [%] ,Motorräder pro 1000 Einwohner [Anz.] ,Bestand Elektromotor [%] ,Ø steuerbares Einkommen natürliche Pers. [Fr.] ,Erschliessung durch S-Bahn+Bus [% der Einw.] ,"MIV-Wege Quell-, Ziel- und Binnenverkehr [Anz.] ",Motorrad-Neuzulasssungen pro 1000 Einw. [Anz.] ,Neuzulassungen  Elektromotor [%] ,Weg zur nächsten Haltestelle [m] ,electric_car_charging_spot_count,electric_cars_per_charging_spot,Ranking Gesamt [Punkte],bfs_nr,municipality,Rangliste
0.51,4.340000000000001,3.42,1.8,4.26,7.6000000000000005,25.400000000000002,2.0,13.049999999999999,6.300000000000001,1.1,3.2,72.97999999999999,195,Maur,1.0
1.14,1.2600000000000002,1.6199999999999999,0.9500000000000001,1.5899999999999999,9.8,20.0,2.2800000000000002,6.75,7.5,0.6000000000000001,6.7,60.190000000000005,196,Mönchaltorf,30.0
2.19,1.4700000000000002,0.27,0.8500000000000001,1.95,2.0,17.0,0.16,10.5,9.600000000000001,0.30000000000000004,1.2000000000000002,47.49,197,Schwerzenbach,112.0
2.07,1.8200000000000003,0.42,0.9500000000000001,2.19,7.0,31.400000000000002,0.64,8.4,2.2,2.5,6.9,66.49000000000001,198,Uster,8.0
1.95,2.5200000000000005,1.08,0.8,2.25,8.3,31.200000000000003,1.04,5.25,4.9,2.6,9.0,70.89000000000001,199,Volketswil,3.0
2.04,2.66,2.19,1.0,3.09,7.7,24.400000000000002,0.88,6.3,3.7,0.9,5.5,60.36,200,Wangen-Brüttisellen,27.0
1.23,1.54,4.2,0.7000000000000001,0.8099999999999999,9.8,1.8,1.8800000000000001,14.549999999999999,9.5,0.1,0.1,46.21,211,Altikon,119.0
1.08,3.22,2.6999999999999997,1.7000000000000002,4.109999999999999,9.8,9.200000000000001,1.56,14.25,6.1000000000000005,0.1,0.1,53.92000000000001,213,Brütten,73.0
1.44,4.0600000000000005,3.69,1.85,1.44,9.8,3.4000000000000004,0.04,15.899999999999999,5.4,0.1,0.1,47.22,214,Dägerlen,113.0
0.09,5.11,0.32999999999999996,0.9500000000000001,4.05,9.8,2.0,0.2,10.65,2.8000000000000003,0.1,0.1,36.18,215,Dättlikon,149.0
0.78,2.1700000000000004,3.7199999999999998,1.1,3.15,6.9,7.800000000000001,0.36,2.6999999999999997,7.7,0.4,7.5,44.28,216,Dinhard,125.0
1.5,4.2,4.02,1.4000000000000001,2.28,9.8,6.2,0.76,15.6,9.8,0.2,3.4000000000000004,59.160000000000004,218,Ellikon an der Thur,35.0
1.17,2.3800000000000003,1.95,0.6000000000000001,1.53,3.7,15.0,0.92,9.75,4.6000000000000005,0.5,7.2,49.300000000000004,219,Elsau,98.0
1.56,3.43,4.05,0.2,1.02,9.8,4.4,0.6,0.15,11.200000000000001,0.1,0.1,36.61000000000001,220,Hagenbuch,148.0
0.84,3.5700000000000003,1.05,2.0,3.9899999999999998,8.700000000000001,12.600000000000001,0.6,15.45,5.2,0.1,0.1,54.2,221,Hettlingen,71.0
0.72,3.5000000000000004,3.15,1.1,3.5999999999999996,9.3,21.400000000000002,0.72,10.799999999999999,5.300000000000001,0.8,5.800000000000001,66.19,223,Neftenbach,9.0
2.25,3.1500000000000004,0.72,0.6000000000000001,0.51,1.6,13.4,0.68,3.3,9.9,0.30000000000000004,3.1,39.51,224,Pfungen,142.0
0.99,1.8200000000000003,3.03,0.8,1.41,5.800000000000001,10.600000000000001,1.08,7.949999999999999,4.5,0.1,0.1,38.18000000000001,225,Rickenbach,144.0
0.24,3.3600000000000003,4.17,1.05,0.69,9.8,2.8000000000000003,1.76,14.7,7.9,0.1,0.1,46.67000000000001,226,Schlatt,116.0
1.23,1.12,2.04,0.7000000000000001,3.63,4.2,23.8,0.4,6.75,5.300000000000001,1.9000000000000001,9.5,60.57,227,Seuzach,24.0
1.53,1.4000000000000001,0.8999999999999999,0.7000000000000001,0.18,5.0,16.400000000000002,0.72,15.149999999999999,7.1000000000000005,0.6000000000000001,6.1000000000000005,55.78000000000001,228,Turbenthal,58.0
2.58,0.21000000000000002,0.09,0.8500000000000001,0.36,4.1000000000000005,31.8,0.28,6.0,2.7,3.3000000000000003,8.700000000000001,60.970000000000006,230,Winterthur,23.0
1.89,2.1,2.46,0.30000000000000004,0.21,8.0,18.6,1.12,9.6,10.5,0.30000000000000004,3.0,58.08,231,Zell,44.0
1.29,3.0100000000000002,3.42,2.2,4.35,9.8,8.0,1.76,11.549999999999999,7.6000000000000005,0.1,0.1,53.18,241,Aesch,76.0
2.01,0.8400000000000001,2.25,1.25,2.88,2.8000000000000003,20.8,1.28,10.049999999999999,4.4,0.6000000000000001,4.2,53.36,242,Birmensdorf,75.0
2.67,0.07,0.06,0.35000000000000003,0.06,1.2000000000000002,30.6,0.6,3.4499999999999997,1.1,3.0,9.4,52.56000000000001,243,Dietikon,84.0
1.56,0.77,1.77,0.9500000000000001,2.85,9.8,22.0,2.04,5.7,4.3,0.2,0.9,52.84,244,Geroldswil,83.0
2.34,1.6800000000000002,1.08,0.2,1.3199999999999998,9.8,22.8,0.6,1.2,4.0,0.7000000000000001,8.8,54.52000000000001,245,Oberengstringen,67.0
0.75,4.9,3.81,1.2000000000000002,4.02,9.8,11.200000000000001,1.76,10.95,0.8,0.6000000000000001,8.8,58.59,246,Oetwil an der Limmat,39.0
2.76,0.42000000000000004,0.21,0.9500000000000001,0.15,0.7000000000000001,30.0,0.8,2.25,1.4000000000000001,3.1,9.1,51.839999999999996,247,Schlieren,88.0
1.38,1.9600000000000002,3.78,1.9500000000000002,4.56,5.5,14.0,2.12,11.1,0.9,1.1,6.6000000000000005,54.949999999999996,248,Uitikon,64.0
